Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
14884_G4day_Germinated___S1_1x1_d,14884,Nikon,1x,1,Germination4Day,G4day,,,,S1,Germinated,d,
14885_G4day_Germinated___S1_1x1_l,14885,Nikon,1x,1,Germination4Day,G4day,,,,S1,Germinated,l,
14886_G4day_Germinated___S2_1x1_d,14886,Nikon,1x,1,Germination4Day,G4day,,,,S2,Germinated,d,
14887_G4day_Germinated___S2_1x1_l,14887,Nikon,1x,1,Germination4Day,G4day,,,,S2,Germinated,l,
14888_G4day_Germinated___S3_1x1_d,14888,Nikon,1x,1,Germination4Day,G4day,,,,S3,Germinated,d,
14889_G4day_Germinated___S3_1x1_l,14889,Nikon,1x,1,Germination4Day,G4day,,,,S3,Germinated,l,
14890_G4day_Germinated___S4_1x1_d,14890,Nikon,1x,1,Germination4Day,G4day,,,,S4,Germinated,d,
14891_G4day_Germinated___S4_1x1_l,14891,Nikon,1x,1,Germination4Day,G4day,,,,S4,Germinated,l,
14892_G4day_Germinated___S5_1x1_d,14892,Nikon,1x,1,Germination4Day,G4day,,,,S5,Germinated,d,
14893_G4day_Germinated___S5_1x1_l,14893,Nikon,1x,1,Germination4Day,G4day,,,,S5,Germinated,l,
14894_G4day_Germinated___S6_1x1_d,14894,Nikon,1x,1,Germination4Day,G4day,,,,S6,Germinated,d,
14895_G4day_Germinated___S6_1x1_l,14895,Nikon,1x,1,Germination4Day,G4day,,,,S6,Germinated,l,
14896_G4day_Germinated___S7_1x1_d,14896,Nikon,1x,1,Germination4Day,G4day,,,,S7,Germinated,d,
14897_G4day_Germinated___S7_1x1_l,14897,Nikon,1x,1,Germination4Day,G4day,,,,S7,Germinated,l,
14898_G4day_Germinated___S8_1x1_d,14898,Nikon,1x,1,Germination4Day,G4day,,,,S8,Germinated,d,
14899_G4day_Germinated___S8_1x1_l,14899,Nikon,1x,1,Germination4Day,G4day,,,,S8,Germinated,l,
14900_G4day_Germinated___S9_1x1_d,14900,Nikon,1x,1,Germination4Day,G4day,,,,S9,Germinated,d,
14901_G4day_Germinated___S9_1x1_l,14901,Nikon,1x,1,Germination4Day,G4day,,,,S9,Germinated,l,
14902_G4day_Germinated___S10_1x1_d,14902,Nikon,1x,1,Germination4Day,G4day,,,,S10,Germinated,d,
14903_G4day_Germinated___S10_1x1_l,14903,Nikon,1x,1,Germination4Day,G4day,,,,S10,Germinated,l,
14904_G4day_Germinated___S11_1x1_d,14904,Nikon,1x,1,Germination4Day,G4day,,,,S11,Germinated,d,
14905_G4day_Germinated___S11_1x1_l,14905,Nikon,1x,1,Germination4Day,G4day,,,,S11,Germinated,l,
14906_G4day_Germinated___S12_1x1_d,14906,Nikon,1x,1,Germination4Day,G4day,,,,S12,Germinated,d,
14907_G4day_Germinated___S12_1x1_l,14907,Nikon,1x,1,Germination4Day,G4day,,,,S12,Germinated,l,
14908_G4day_Germinated___S13_1x1_d,14908,Nikon,1x,1,Germination4Day,G4day,,,,S13,Germinated,d,
14909_G4day_Germinated___S13_1x1_l,14909,Nikon,1x,1,Germination4Day,G4day,,,,S13,Germinated,l,
14910_G4day_Germinated___S14_1x1_d,14910,Nikon,1x,1,Germination4Day,G4day,,,,S14,Germinated,d,
14911_G4day_Germinated___S14_1x1_l,14911,Nikon,1x,1,Germination4Day,G4day,,,,S14,Germinated,l,
14912_G4day_Germinated___S15_1x1_d,14912,Nikon,1x,1,Germination4Day,G4day,,,,S15,Germinated,d,
14913_G4day_Germinated___S15_1x1_l,14913,Nikon,1x,1,Germination4Day,G4day,,,,S15,Germinated,l,
14914_G4day_Germinated___S16_1x1_d,14914,Nikon,1x,1,Germination4Day,G4day,,,,S16,Germinated,d,
14915_G4day_Germinated___S16_1x1_l,14915,Nikon,1x,1,Germination4Day,G4day,,,,S16,Germinated,l,
14916_G4day_Germinated___S17_1x1_d,14916,Nikon,1x,1,Germination4Day,G4day,,,,S17,Germinated,d,
14917_G4day_Germinated___S17_1x1_l,14917,Nikon,1x,1,Germination4Day,G4day,,,,S17,Germinated,l,
14918_G4day_Germinated___S18_1x1_d,14918,Nikon,1x,1,Germination4Day,G4day,,,,S18,Germinated,d,
14919_G4day_Germinated___S18_1x1_l,14919,Nikon,1x,1,Germination4Day,G4day,,,,S18,Germinated,l,
14920_G4day_Germinated___S19_1x1_d,14920,Nikon,1x,1,Germination4Day,G4day,,,,S19,Germinated,d,
14921_G4day_Germinated___S19_1x1_l,14921,Nikon,1x,1,Germination4Day,G4day,,,,S19,Germinated,l,
