A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.05357837,0.00454503,0.010280835,-0.002318478,0.002837045,-0.001378141,-0.000254058,-0.000145562,-0.800228017,-0.001670069,-0.04691262,-0.003065234,-0.009208138,0.003784461,0.00252178,-0.001234133,1.092905871,-0.001077266,0.045635396,-0.002505434,0.000724566,-0.000733276,-0.002068399,8.27E-05,0.079594432,-0.00225881,0.010984856,-0.000962071,0.00113299,0.000534705,-0.000842438,0.001119336
0.040483799,-0.003128751,0.006902118,0.004169241,0.002101027,0.001637356,-0.000450719,-0.001425075,-0.772950329,0.000856344,-0.055028293,-0.000231579,-0.011576917,0.000714934,0.001185834,-0.000900821,1.102425925,0.000212085,0.050465486,-8.04E-06,0.0005283,0.000542187,-0.00357967,0.000409,0.046209716,0.001219723,0.004777504,-0.001018151,-0.000715628,-0.002789933,-0.001570626,-0.001687499
0.089782897,0.006631491,0.013583471,0.002709402,0.002203568,-0.000345383,-0.001218286,-0.002872114,-0.848200403,-0.000935089,-0.042169482,-0.004431818,-0.005640698,-0.00092826,0.00174936,0.001613392,1.086774658,-0.001367513,0.031410925,-0.003321716,-0.004527431,-0.003842897,-0.004251701,-0.001530637,0.117826218,-0.003597275,0.011935585,-0.005081138,-0.000738813,-0.004745751,-0.002332606,-0.001787154
0.023851668,0.003976198,0.008093324,0.002353585,-0.002466732,0.000892077,0.000491637,-0.000851163,-0.889703239,-0.00033342,-0.035332221,-0.009837895,-0.006505394,0.005995714,0.000753359,0.001034488,1.087887886,-0.007285914,0.026163304,-0.012868364,-0.007371469,-0.009494648,-0.008592527,-0.003517339,0.031098651,-0.001255731,0.000193992,-0.00326786,-0.001072826,-0.003715991,0.000191763,-0.002448938
0.055401051,0.003700428,0.009694019,0.001151144,0.001127575,-0.004199645,5.00E-06,0.000226395,-0.821934603,-0.004418535,-0.049100124,-0.000947933,-0.007359817,0.001936335,0.002828382,-0.000426451,1.086097249,-0.005666532,0.034037826,-0.005360344,-0.007382029,-0.003453264,-0.007331249,-0.00241418,0.092460069,-0.00350166,0.013113182,-0.003689884,0.002332124,-0.001337034,-0.000396767,0.000425813
0.090370883,-0.001478134,0.023140676,0.005893465,-0.00435086,-0.002362679,-0.000988853,-0.003151181,-0.832557287,-0.007662557,-0.049205869,-0.004375916,-0.006765767,-0.0002063,0.005319143,0.000961568,1.089367963,-0.009393991,0.029128295,-0.011645964,-0.008385562,-0.008792321,-0.00611645,-0.004790979,0.124234569,-8.20E-05,0.01000426,-0.005370145,-0.002524775,-0.006291968,-0.0022179,-0.002923592
0.03780202,0.0046834,0.005248317,0.001473756,0.001140949,-0.001332616,0.000979608,-0.001704091,-0.880525192,0.013772133,-0.025912618,-0.010152713,-0.009085821,-0.002184627,-0.00144998,0.000696537,1.087049567,0.006935523,0.03749917,0.001501566,0.002701041,-0.004558611,-0.00321894,-0.003717743,0.054949418,-0.003003361,0.00693223,-0.003257344,0.001910701,-0.00212839,-0.000115147,-0.00019414
0.035867351,-0.001007394,0.002147584,0.001139421,0.004838138,0.000248632,0.002573506,-0.000364775,-0.797903808,0.014912382,-0.046817025,-0.011084069,-0.007434641,-0.000261894,-0.001767167,0.001566896,1.102541648,0.00703409,0.048780197,0.001518467,0.00296374,-0.002780433,-0.002205756,-0.001400948,0.064150214,-0.000901252,0.013522342,-0.000236562,0.004473117,-0.000841724,-0.000279804,-0.000469489
0.080200939,0.012462635,0.012286484,0.000278018,0.003861156,-0.001879325,-0.00048079,-0.002246777,-0.831520754,-0.003263409,-0.040680279,-0.011339312,-0.005279827,0.002243798,0.001420595,0.001457555,1.077766302,-0.008084669,0.031001037,-0.011981191,-0.005763879,-0.010096677,-0.005881686,-0.004635887,0.123558246,-0.008148272,0.016874093,-0.009117172,0.001401598,-0.007496579,-0.001879337,-0.004570428
0.049112009,-0.013638637,0.011781035,0.006461606,-0.004988033,-0.000697257,-0.002546828,-1.26E-06,-0.863538712,-0.003604143,-0.05131254,-0.002676926,-0.004352726,0.001074464,0.006284357,0.002139479,1.078503159,-0.009924555,0.018798891,-0.010977054,-0.015060769,-0.008403921,-0.009064032,-0.004381835,0.035458828,0.007199807,-0.005339825,0.002822876,-0.00565136,-0.001071195,-0.001284417,-0.001311526
