A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.02401251,-0.050559958,0.002272539,0.007304163,-0.005862634,0.007906962,-0.005071847,0.002589528,-0.697488429,-0.03013321,-0.041457261,-0.017205557,-0.004385852,0.001710651,-0.000256856,4.75E-05,1.119505437,0.003804517,0.066986128,-0.010500175,0.017012057,-0.00902654,0.005286205,-0.002343903,-0.038299632,0.028002126,-0.025314066,0.023921843,-0.012408537,0.008956939,-0.003627185,0.003776026
-0.01574194,-0.025279846,0.00224718,0.011973076,-0.004085678,0.003965345,-0.000383584,-0.002105193,-0.684425343,-0.027240734,-0.045294566,-0.01168832,-0.014278351,0.007294954,-0.004018851,0.001037916,1.170685139,-0.004945452,0.085661904,-0.012535734,0.0228928,-0.007393922,0.007041553,-0.002337499,-0.012583382,0.013322501,-0.007178253,0.007310778,-0.001930627,-0.000411143,-0.000274465,0.000520543
-0.01642654,-0.072417743,0.010737161,0.013636446,0.00442236,0.007708663,-0.000540405,0.001094499,-0.746969616,-0.047444166,-0.049508686,-0.009761952,-0.005272325,0.011077059,-0.006449095,0.002146674,1.188044263,-0.011432897,0.072043089,-0.019168415,0.019822371,-0.009055156,0.004715923,0.000781924,0.008457052,0.032443683,-0.009010476,0.025236615,-0.005376724,0.005901663,-0.004364791,0.003428734
-0.084115707,-0.063901083,0.002029815,0.001092023,-0.001606626,0.009760524,-0.002852186,0.001452591,-0.709959852,0.014965244,-0.047434259,-0.015852731,-0.013069728,-0.003784306,-0.000844384,-0.000933856,1.121605846,0.011743265,0.06381816,0.009539863,0.008379003,0.002766847,-0.001640217,0.001685317,-0.108569847,0.029035795,-0.026843582,0.02347002,-0.016145289,0.010236578,-0.007128827,0.00348395
0.010221607,0.010432456,0.017776505,-0.010564048,-0.002062275,-0.000914607,-0.002266135,0.001047623,-0.673054983,-0.012114334,-0.067079456,-0.018561996,-0.015582775,-0.000217294,0.001102246,0.005798946,1.169945015,-0.005190673,0.077705588,-0.00984403,0.012678702,-0.010168723,0.002675475,-0.005542868,0.015821163,-0.001730797,-0.000986123,0.002146117,-0.003389444,0.003627287,-0.001678537,0.002046423
-0.032781499,-0.065284714,-0.012834129,0.010441781,-0.008317099,0.012870375,-0.000780518,0.002966831,-0.760262684,-0.018072007,-0.020722405,-0.019128883,-0.006732073,0.003875094,-0.006087684,0.003102227,1.1083751,0.007027443,0.060920793,-0.006536936,0.020317124,-0.004233279,0.004315131,0.003624121,-0.103890242,0.041365444,-0.031549148,0.033445147,-0.010143467,0.010150878,-0.002204055,0.002569033
0.035449531,-0.037747609,0.011140657,0.011687325,-0.000139097,0.011402816,0.002116263,-0.002041757,-0.72353035,-0.034083938,-0.040490219,-0.016233047,-0.005719615,0.004550524,-0.006553872,0.00385051,1.169610106,-0.002364222,0.077566261,-0.018628956,0.023850034,-0.011571288,0.006839598,-0.003586208,0.053792878,0.026754322,-0.00196773,0.015541761,-0.000852859,-0.001169345,-0.001710614,-0.000205585
-0.0251,-0.07393529,0.012159265,-0.00198081,-0.005989289,0.013476939,-0.005642891,0.003400916,-0.673071878,-0.00905125,-0.045258234,-0.022691875,-0.012635722,-0.002175324,-0.004719626,0.000283911,1.179226169,0.011723455,0.079014758,-0.002439046,0.021253217,-0.006519718,0.005705503,-0.000969019,-0.05171836,0.033604275,-0.027887815,0.03186811,-0.016652155,0.01388443,-0.004658143,0.004689422
0.009577874,-0.050818442,0.002539506,0.011287308,-0.00421285,0.005412241,-0.000458614,0.001666457,-0.712485744,-0.040387535,-0.02577219,-0.008873081,-0.010627511,0.008368467,-0.006706567,0.001232959,1.118622498,-0.002730355,0.074798761,-0.015891777,0.024567354,-0.007120265,0.005988636,0.000680491,-0.017660468,0.032471647,-0.015982645,0.023094455,-0.005107157,0.00617952,-0.002054109,0.004630489
-0.049085351,-0.055642339,-0.013017055,0.005049545,-0.006058325,0.009457997,0.003291964,0.002346171,-0.805197574,-9.20E-06,-0.046050857,-0.015501981,0.002927952,-0.001957559,0.000508672,0.001834694,1.071664174,0.003800139,0.031320271,-0.00212318,-0.000377669,-0.003859938,-0.000862225,-0.000800715,-0.114100009,0.031340189,-0.023037597,0.028146525,-0.004227169,0.010948055,-0.000424553,2.09E-03
