A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.194626529,0.009029254,0.016195257,0.004368683,-0.00266998,-0.006301197,-0.005011497,-0.002753399,-0.900806559,0.005786414,-0.032946898,-0.009427919,4.51E-05,0.000674263,0.001323942,0.002446366,1.024777521,-0.002527671,0.006384332,-0.004556456,-0.007654397,-0.002982364,-0.001669332,6.29E-05,0.177550954,-0.00763051,-0.002023641,-0.008385304,-0.009990226,-0.004128101,-0.002518991,0.002514745
0.049157574,-0.009857374,0.009638965,0.009611513,0.000133434,0.001101412,0.000344416,-0.000941735,-0.851978007,0.021934544,-0.053397154,-0.003053487,-0.003208459,-0.005258166,-0.001549759,-0.001923773,1.115563907,0.007615833,0.028094623,0.004998631,-0.011439175,-0.001598098,-0.011470383,-0.005132485,0.071144554,0.003924955,0.008618268,-0.000157078,-0.000132533,-0.004301278,-1.55E-03,-0.004060801
0.040371275,0.000190818,0.012386303,0.001511861,0.000904157,-0.000168724,-0.001037295,-0.002265482,-0.801683273,-0.013137235,-0.053491115,-0.007587189,-0.00685354,0.00189459,-0.002848253,0.002299326,1.124167294,-0.017185614,0.043100682,-0.019633449,-0.003693346,-0.015624749,-0.007614639,-9.34E-03,0.051612925,0.000169464,0.003597302,-0.00160831,-0.002543099,-0.00269064,-0.002078219,-0.001498618
0.052321396,1.46E-07,0.009763791,0.000656732,0.005841059,3.16E-05,-0.001305412,-0.002152171,-0.809504164,-0.011796366,-0.070887673,-0.004794034,-0.004218094,0.005070006,0.002493893,4.02E-03,1.135509377,-0.025003183,0.029260292,-0.022907889,-0.016763829,-0.014921583,-0.012597726,-0.006426948,0.064580221,-0.002660234,0.00425449,-0.005032258,-0.00698425,-0.005340052,-0.00787916,-0.002923121
0.045200211,0.017881954,-0.001402968,0.000266746,0.005138036,-0.001694367,0.000397896,-0.002099958,-0.736176616,-0.021044737,-0.066721854,-0.003299521,-0.010781236,0.002456099,-0.001589737,0.003527943,1.137435235,-0.01453325,0.058568124,-0.014161655,0.00148708,-0.009558837,-0.004213872,-0.004429316,0.034263054,-0.006568386,0.005466131,-0.00811598,0.000330537,-0.005289857,-0.001720658,-0.002796116
0.033883864,0.006630436,0.0065743,-0.003052458,-0.001451429,0.003151893,-0.001581132,-0.002057577,-0.846205727,0.006900647,-0.053373368,-0.007788615,-0.004714222,0.002516874,-0.000185144,-0.001339332,1.098933547,3.34E-05,0.030539117,-0.003547345,-0.00961351,-0.004168937,-0.00958049,-0.002799505,0.013312322,-0.002563622,-0.004772133,-0.000643919,-0.004318807,-0.000992485,-0.00156075,-0.000608531
0.027689331,0.008328648,0.009185104,0.000495367,0.002619097,-0.001521049,0.000695513,-0.001715283,-0.734000512,0.000490178,-0.074479826,-0.007655102,-0.010432895,0.001653531,0.000245276,0.001703355,1.130309327,-0.006980809,0.050756341,-0.008616795,-0.005644041,-0.007560654,-0.009108021,-0.0044844,0.062504442,-0.003456897,0.012127411,-0.003936921,0.00212804,-0.002584431,-0.000916712,-0.000946104
0.021159442,0.019975485,0.00511618,-0.006242364,-0.00047488,-0.001230817,0.0008918,0.000331054,-0.911390214,0.0014465,-0.061751729,-0.00513996,0.014442521,0.005479578,0.002357671,-0.000953349,1.087896695,-0.00375938,0.004301474,-0.004441508,-0.015453194,-0.00177053,-0.002806552,0.00014591,0.028983398,-0.009354551,0.000640525,-0.007631912,-0.00392719,-0.002001148,-0.003076684,6.79E-05
0.029358646,-0.015691191,-0.002897779,0.000953335,0.002874073,0.001963066,0.00012091,0.000796038,-0.740667844,0.010153937,-0.069018319,-0.008897967,-0.011724842,0.00079053,-1.66E-05,0.0014709,1.133061662,0.0035975,0.057823826,-0.000367455,0.000761868,-0.002419365,-0.004682755,-0.001088069,0.011160828,0.004635509,0.000256185,0.005041383,-0.000948415,0.001943452,-0.001699871,0.00028141
0.022270902,-0.002764536,-0.003691359,-0.000928145,0.001980058,-0.000802331,0.001270504,0.000135666,-0.734868585,0.004517983,-0.059812852,-0.011234823,-0.016016996,0.001140848,-0.003239542,0.003361523,1.145247527,-0.000207506,0.066452204,-0.00412513,0.007142607,-0.004908592,-0.002331752,-0.001682995,0.009340133,0.00039604,0.001526941,0.00153775,0.001099617,0.001640213,-0.000182158,0.001485913
