A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.092792403,-0.057282792,-0.012106287,0.013584967,-0.005879536,0.005102953,0.002095325,0.002782671,-0.821171975,-0.006006898,-0.028912577,-0.007487378,-0.000586458,0.00104091,-0.001468571,0.001892353,1.094531019,-0.001047626,0.044904925,0.0004719,0.01030259,0.001141386,0.003941467,0.004400076,-0.131160406,0.036184977,-0.018833828,0.026988897,-0.003174864,0.009169323,-0.000452242,0.002665673
-0.074652066,-0.081687706,-0.000159807,0.00384353,-0.014173084,0.013715678,-0.010632172,0.002013758,-0.708618022,0.006762766,-0.053603319,-0.026599551,-0.000680249,-0.005720536,-0.003492531,7.19E-05,1.153903313,0.027440544,0.057597277,0.00478213,0.011620986,-0.004243774,-0.000891537,0.001744062,-0.142201665,0.045831024,-0.051812244,0.0388989,-0.020396472,0.013220417,0.001172093,0.002845424
-0.076403141,-0.077475591,-0.00285858,0.006117097,-0.004618345,0.014320533,-0.008675516,0.004010807,-0.711733852,-0.025356877,-0.069957715,-0.005529951,0.004472123,-0.003185372,-0.002659184,0.000795795,1.167224618,0.003454126,0.062013446,-0.001046811,0.014557944,-0.003265253,0.005157519,0.000533124,-0.104839549,0.034445651,-0.033960835,0.035446451,-0.01426653,0.014077494,-0.002439312,0.001078613
-0.076648485,-0.09153599,0.000408795,-0.005898217,-0.00784513,0.010894063,-0.008827439,0.00594071,-0.678740238,0.00162955,-0.066594792,-0.03388324,0.005974677,-0.004825515,0.007978491,-0.001562935,1.118761134,0.027879203,0.041923602,0.011269126,0.000167161,0.000871073,0.001059065,0.004012684,-0.155674979,0.04104543,-0.052437746,0.043140599,-0.022713459,0.024040196,-0.001879198,0.005884781
-0.053456042,-0.060073727,0.017166112,0.011309703,-0.012269501,0.013719255,-0.006199221,0.003470912,-0.68155339,-0.055111354,-0.049758906,-0.016086265,0.001744571,0.002986621,-0.00365262,0.005222597,1.150360289,0.005338568,0.071570501,-0.015735246,0.022984727,-0.012486979,0.006906705,0.001200332,-0.067940422,0.035875193,-0.041000888,0.032707736,-0.018934939,0.007582417,-0.004289978,0.000701953
-0.18212444,-0.056050687,-0.019829468,-0.012363472,-0.004835225,-0.002168741,-0.00354683,0.002805896,-0.708399188,0.044776283,-0.075153017,-0.020037568,0.006484627,-0.011857791,0.005954633,-0.003699709,1.081338377,0.036487162,0.023258831,0.026657524,-0.015323248,0.009822485,-0.004645045,0.001539674,-0.250639999,0.023570757,-0.047440375,0.017676733,-0.00958329,0.011222455,0.002824597,0.0035947
-0.040126437,-0.046345703,0.00626235,0.005390231,-0.016470161,0.006349179,-0.009427134,0.002637532,-0.701938343,0.000114742,-0.055834571,-0.023451502,-0.00449627,-0.003629969,-0.001461458,0.000919278,1.12846494,0.009922545,0.059526734,-0.001981629,0.00648102,-0.007909679,-0.001021299,-0.003112352,-0.12829799,0.024448406,-0.043365524,0.021732125,-0.018772049,0.010858767,-0.001861153,0.004644577
-0.161896492,-0.041430052,-0.03948426,-0.009820186,0.003452743,-0.005128802,0.00607728,0.001343658,-0.822486103,0.02251943,-0.064854527,-0.01127051,0.017745958,-0.005119002,-0.00017127,-0.00622685,1.099409874,0.030819216,-0.004264132,0.024872878,-0.018604647,0.01415982,-0.000681575,0.004598059,-0.276065903,0.021959725,-0.03154865,0.026226226,0.003235459,0.020040331,0.002584943,0.009303466
-0.061420907,-0.068685977,0.002759537,-0.006502024,-0.01217437,0.006570243,-0.008531498,0.003982565,-0.655872075,0.011854617,-0.042011922,-0.022060472,-0.007499129,-0.004376434,-0.001367818,-0.00099943,1.103659256,0.023096673,0.063643082,0.010359908,0.011625956,0.000985687,0.002168769,0.003256596,-0.131231175,0.033200457,-0.043602665,0.030784018,-0.022026945,0.015899333,-0.004283049,0.004753687
-0.00301463,-0.027121497,0.016044069,0.018009379,-0.005915163,0.012405642,-0.002825561,-0.001616801,-0.658409305,0.008788761,-0.039802278,-0.036456935,-0.004905521,0.002086494,-0.006970324,0.005689931,1.1298981,0.016947036,0.081615918,-0.007517747,0.028068956,-0.012097537,0.011012842,-0.002441151,-0.005811506,0.02516788,-0.019885815,0.013631419,-0.011521718,-0.002576017,-0.002895143,-0.003674774
-0.046781217,-0.05487193,-0.003775591,-0.008214155,-0.016550093,0.007863909,-0.007585036,0.005074833,-0.637841559,-0.013373078,-0.060387038,-0.028302616,-0.006824802,0.000480524,-0.001634316,0.00216838,1.167880968,0.008766859,0.071009585,-0.003866286,0.011021476,-0.005696799,0.000726342,0.001292275,-0.156762681,0.02424066,-0.050949425,0.025813908,-0.021107361,0.015045955,-0.003777772,0.006075539
-0.054047804,-0.046032076,0.012640764,0.007432335,-0.010234329,0.005952994,-0.006170618,0.00123118,-0.707599298,0.004468745,-0.061125911,-0.026956493,-0.005260007,-0.003361357,-0.004731899,0.00124552,1.195970198,0.010100531,0.075336757,-0.001597107,0.013551938,-0.007721022,0.002327677,-0.00441062,-0.095486814,0.023575458,-0.034853163,0.017709933,-0.018785901,0.008586024,-0.006971761,0.003603058
-0.032834649,-0.071722762,0.00613617,0.007803014,-0.01199424,0.00914,-0.002382717,0.002230456,-0.615639255,0.003681963,-0.049333227,-0.031389026,-0.008115286,-0.001310124,-0.005723604,-0.00135313,1.155825546,0.012721139,0.085690338,-0.001900008,0.023151691,-0.006571884,0.007035606,-0.002438832,-0.061588828,0.031116878,-0.027729241,0.024378604,-0.01385547,0.010611224,-0.004403568,0.004660388
-0.060991052,-0.100360986,-0.009385764,0.011728857,0.006663735,0.015608971,-0.005831533,0.008698032,-0.691716868,0.006707859,-0.025319204,-0.032955862,0.002000522,-0.010553207,-0.000283801,-0.001292756,1.128365372,0.023075068,0.061625056,0.012217836,0.020700175,-0.001538861,0.009065044,-0.00024366,-0.100748336,0.052904541,-0.03245823,0.046561671,-0.023087456,0.019075748,-0.010430726,0.004085437
-0.035290107,-0.058737757,-0.005656059,-0.006477211,-0.003106436,0.013254575,-0.00860744,0.004917873,-0.736936464,0.017902033,-0.057489359,-0.0271917,0.003577453,-0.012539255,-0.000792443,-0.000727692,1.125253701,0.027817314,0.047078413,0.008564761,0.004078135,-0.004301637,-5.75E-05,-0.003876622,-0.097351524,0.03168557,-0.035257603,0.032606708,-0.017988497,0.014852723,-0.004441352,0.003320353
-0.037311459,-0.05187402,-0.002934508,-0.00362273,-0.004995582,-0.003041892,-0.003029988,0.004891305,-0.634247142,-0.001312111,-0.063641267,-0.015167123,-0.012850329,-0.006082774,0.002238314,-0.002580802,1.174458629,0.006869786,0.07900481,0.003517553,0.011319687,-0.000681665,0.001605521,-0.000791757,-0.104375068,0.016433088,-0.031613112,0.017625354,-0.016744362,0.014022494,-0.008755656,0.009269728
-0.026307485,-0.064957823,-0.013970876,0.001681332,-0.021025246,0.010846,-0.008673254,0.002057595,-0.681705947,-0.021520917,-0.047224106,-0.035907417,0.007518387,-0.002221389,-0.000866407,-0.00165382,1.163944121,0.01421503,0.055611693,-0.005171745,0.006142652,-0.006838777,-0.000844364,0.001330845,-0.206956007,0.034423059,-0.066148863,0.03361675,-0.022250759,0.017351637,-0.000787525,0.008834793
-0.016965769,-0.040595922,0.007074661,0.005266994,-0.011631353,0.008439538,-0.011277522,-0.000398946,-0.643280027,-0.009146933,-0.048318892,-0.031865284,-0.003859253,0.000980733,-0.008751672,0.002310826,1.173884201,0.013414171,0.083695436,-0.005832383,0.024433059,-0.010038065,0.007636136,-0.002567012,-0.080133064,0.02411663,-0.037131717,0.020608383,-0.018617086,0.007840465,-0.004229045,0.003457145
-0.00806551,-0.045582621,-0.00013485,0.022817048,-0.022170228,0.012243809,-0.010620532,0.00022688,-0.683140672,-0.058360626,-0.02062873,-0.039408162,-0.001765192,0.00153053,-0.004833387,0.001260545,1.187414346,0.0175909,0.080624144,-0.017303005,0.02792545,-0.01369147,0.004050258,-0.001356412,-0.105791039,0.042008155,-0.055340301,0.028104621,-0.020799173,0.004735561,-0.004581809,0.005836471
-0.014552166,-0.024743132,0.016383555,0.003197987,-0.008128936,0.005723294,-0.006951218,-0.002030575,-0.678509136,-0.030821865,-0.023205077,-0.015445186,-0.006607616,0.003606085,-0.014968065,0.000977442,1.186080772,0.002350317,0.092359347,-0.010267322,0.03367275,-0.007853369,0.011846627,-0.00242164,-0.031774962,0.01678168,-0.020265082,0.012956295,-0.012124801,0.004356775,-0.003587363,0.003388797
