Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?,
13009_Taes_STM017a___d,13009,Feedsax,,,Stafford St Marys Grove,,STM017a,,,,Arch_Tturg,d,,
13010_Taes_STM017a___l,13010,Feedsax,,,Stafford St Marys Grove,,STM017a,,,,Arch_Tturg,l,,
13015_Taes_STM0021a___d,13015,Feedsax,,,Stafford St Marys Grove,,STM0021a,,,,Arch_Tturg,d,,
13016_Taes_STM0021a___l,13016,Feedsax,,,Stafford St Marys Grove,,STM0021a,,,,Arch_Tturg,l,,
13018_Taes_STM0021b___d,13018,Feedsax,,,Stafford St Marys Grove,,STM0021b,,,,Arch_Tcom,d,,
13019_Taes_STM0021b___l,13019,Feedsax,,,Stafford St Marys Grove,,STM0021b,,,,Arch_Tcom,l,,
13021_Taes_STM0021c___d,13021,Feedsax,,,Stafford St Marys Grove,,STM0021c,,,,Arch_Taes,d,,
13022_Taes_STM0021c___l,13022,Feedsax,,,Stafford St Marys Grove,,STM0021c,,,,Arch_Taes,l,,
13024_Taes_STM0101a___d,13024,Feedsax,,,Stafford St Marys Grove,,STM0101a,,,,Arch_Tcom,d,,
13025_Taes_STM0101a___l,13025,Feedsax,,,Stafford St Marys Grove,,STM0101a,,,,Arch_Tcom,l,,
13033_Taes_STB002a___d,13033,Feedsax,,,Stafford,,STB002a,,,,Arch_Taes,d,,
13034_Taes_STB002a___l,13034,Feedsax,,,Stafford,,STB002a,,,,Arch_Taes,l,,
13036_Taes_STB002b___d,13036,Feedsax,,,Stafford,,STB002b,,,,Arch_Taes,d,,
13037_Taes_STB002b___l,13037,Feedsax,,,Stafford,,STB002b,,,,Arch_Taes,l,,
13039_Taes_STB002c___d,13039,Feedsax,,,Stafford,,STB002c,,,,Arch_Tcom,d,,
13040_Taes_STB002c___l,13040,Feedsax,,,Stafford,,STB002c,,,,Arch_Tcom,l,,
13045_Taes_STT007a___d,13045,Feedsax,,,Stafford,,STT007a,,,,Arch_Taes,d,,
13046_Taes_STT007a___l,13046,Feedsax,,,Stafford,,STT007a,,,,Arch_Taes,l,,
13048_Taes_STT007b___d,13048,Feedsax,,,Stafford,,STT007b,,,,Arch_Tcom,d,,
13049_Taes_STT007b___l,13049,Feedsax,,,Stafford,,STT007b,,,,Arch_Tcom,l,,
13051_Taes_STT007c___d,13051,Feedsax,,,Stafford,,STT007c,,,,Arch_Tcom,d,,
13052_Taes_STT007c___l,13052,Feedsax,,,Stafford,,STT007c,,,,Arch_Tcom,l,,
13054_Taes_STT009a___d,13054,Feedsax,,,Stafford,,STT009a,,,,Arch_Taes,d,,
13055_Taes_STT009a___l,13055,Feedsax,,,Stafford,,STT009a,,,,Arch_Taes,l,,
13057_Taes_STT009b___d,13057,Feedsax,,,Stafford,,STT009b,,,,Arch_Tcom,d,,
13058_Taes_STT009b___l,13058,Feedsax,,,Stafford,,STT009b,,,,Arch_Tcom,l,,
13060_Taes_STT009c___d,13060,Feedsax,,,Stafford,,STT009c,,,,Arch_Taes,d,,
13061_Taes_STT009c___l,13061,Feedsax,,,Stafford,,STT009c,,,,Arch_Taes,l,,
13063_Taes_STT012a___d,13063,Feedsax,,,Stafford,,STT012a,,,,Arch_Taes,d,,
13064_Taes_STT012a___l,13064,Feedsax,,,Stafford,,STT012a,,,,Arch_Taes,l,,
13066_Taes_STT012b___d,13066,Feedsax,,,Stafford,,STT012b,,,,Arch_Taes,d,,
13067_Taes_STT012b___l,13067,Feedsax,,,Stafford,,STT012b,,,,Arch_Taes,l,,
13069_Taes_STT012c___d,13069,Feedsax,,,Stafford,,STT012c,,,,Arch_Taes,d,,
13070_Taes_STT012c___l,13070,Feedsax,,,Stafford,,STT012c,,,,Arch_Taes,l,,
13072_Taes_LYM001a___d,13072,Feedsax,,,Lyminge,,LYM001a,,,,Arch_Taes,d,,
13073_Taes_LYM001a___l,13073,Feedsax,,,Lyminge,,LYM001a,,,,Arch_Taes,l,,
13075_Taes_LYM001b___d,13075,Feedsax,,,Lyminge,,LYM001b,,,,Arch_Taes,d,,
13076_Taes_LYM001b___l,13076,Feedsax,,,Lyminge,,LYM001b,,,,Arch_Taes,l,,
13078_Taes_LYM001c___d,13078,Feedsax,,,Lyminge,,LYM001c,,,,Arch_Taes,d,,
13079_Taes_LYM001c___l,13079,Feedsax,,,Lyminge,,LYM001c,,,,Arch_Taes,l,,
13081_Taes_LYM003a___d,13081,Feedsax,,,Lyminge,,LYM003a,,,,Arch_Taes,d,,
13082_Taes_LYM003a___l,13082,Feedsax,,,Lyminge,,LYM003a,,,,Arch_Taes,l,,
13084_Taes_LYM003b___d,13084,Feedsax,,,Lyminge,,LYM003b,,,,Arch_Taes,d,,
13085_Taes_LYM003b___l,13085,Feedsax,,,Lyminge,,LYM003b,,,,Arch_Taes,l,,
13087_Taes_LYM003c___d,13087,Feedsax,,,Lyminge,,LYM003c,,,,Arch_Tcom,d,,
13088_Taes_LYM003c___l,13088,Feedsax,,,Lyminge,,LYM003c,,,,Arch_Tcom,l,,
13090_Taes_LYM005a___d,13090,Feedsax,,,Lyminge,,LYM005a,,,,Arch_Taes,d,,
13091_Taes_LYM005a___l,13091,Feedsax,,,Lyminge,,LYM005a,,,,Arch_Taes,l,,
13093_Taes_LYM005b___d,13093,Feedsax,,,Lyminge,,LYM005b,,,,Arch_Tcom,d,,
13094_Taes_LYM005b___l,13094,Feedsax,,,Lyminge,,LYM005b,,,,Arch_Tcom,l,,
13096_Taes_LYM005c___d,13096,Feedsax,,,Lyminge,,LYM005c,,,,Arch_Taes,d,,
13097_Taes_LYM005c___l,13097,Feedsax,,,Lyminge,,LYM005c,,,,Arch_Taes,l,,
13099_Taes_LYM007a___d,13099,Feedsax,,,Lyminge,,LYM007a,,,,Arch_Tcom,d,,
13100_Taes_LYM007a___l,13100,Feedsax,,,Lyminge,,LYM007a,,,,Arch_Tcom,l,,
13102_Taes_LYM007b___d,13102,Feedsax,,,Lyminge,,LYM007b,,,,Arch_Taes,d,,
13103_Taes_LYM007b___l,13103,Feedsax,,,Lyminge,,LYM007b,,,,Arch_Taes,l,,
13108_Taes_LYM009a___d,13108,Feedsax,,,Lyminge,,LYM009a,,,,Arch_Taes,d,,
13109_Taes_LYM009a___l,13109,Feedsax,,,Lyminge,,LYM009a,,,,Arch_Taes,l,,
13111_Taes_LYM009b___d,13111,Feedsax,,,Lyminge,,LYM009b,,,,Arch_Taes,d,,
13112_Taes_LYM009b___l,13112,Feedsax,,,Lyminge,,LYM009b,,,,Arch_Taes,l,,
13117_Taes_LYM012a___d,13117,Feedsax,,,Lyminge,,LYM012a,,,,Arch_Taes,d,,
13118_Taes_LYM012a___l,13118,Feedsax,,,Lyminge,,LYM012a,,,,Arch_Taes,l,,
13120_Taes_LYM012b___d,13120,Feedsax,,,Lyminge,,LYM012b,,,,Arch_Tcom,d,,
13121_Taes_LYM012b___l,13121,Feedsax,,,Lyminge,,LYM012b,,,,Arch_Tcom,l,,
13123_Taes_LYM012c___d,13123,Feedsax,,,Lyminge,,LYM012c,,,,Arch_Tcom,d,,
13124_Taes_LYM012c___l,13124,Feedsax,,,Lyminge,,LYM012c,,,,Arch_Tcom,l,,
13126_Taes_LYM016a___d,13126,Feedsax,,,Lyminge,,LYM016a,,,,Arch_Tcom,d,,
