A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.127499048,0.015411987,0.01862371,-0.003418851,0.006811348,0.002663951,0.000428898,-0.004342134,-2.06982945,-0.052413578,-0.15587662,-0.009518628,0.000448013,0.00173352,-0.00303792,0.005410865,2.929177038,-0.038500544,0.117102095,-0.038670567,-0.001242538,-0.028074141,-0.005693647,-0.01531232,0.187908895,-0.006511991,0.029580061,-0.011131401,0.003911106,-0.011881958,-0.001207833,-0.009508733
0.137632879,-0.022951349,0.021176033,0.004522458,0.008607458,0.009642459,0.006272279,-0.001747412,-1.785946353,0.009186211,-0.154318302,-0.016693042,-0.018598094,-0.002573997,0.004262327,0.004088053,2.692020135,-0.001315211,0.134048391,-0.006986279,0.007203417,-0.010748698,-0.001850937,-0.005555579,0.195849761,0.005634235,0.032121578,0.004550467,0.006075964,-0.004216339,-0.00334151,-0.006947644
0.220008829,0.011784236,0.04594559,0.006871425,-0.006481626,0.000291824,-0.003306576,-0.003047886,-2.138916937,-0.005518595,-0.185104646,-0.020826515,-0.001558764,-0.002191651,0.013911503,0.003328937,2.978591233,-0.019040478,0.092693424,-0.02449263,-0.020459261,-0.022968105,-0.009388327,-0.013241504,0.260859832,-0.00781088,0.024037666,-0.014905628,-0.00681191,-0.017553365,-0.005176945,-0.014330702
0.086171356,-0.010342743,0.021923909,0.004789023,0.005918285,-0.000258098,-0.000229668,-0.000267979,-1.46928601,0.030548629,-0.126104044,-0.009497998,-0.014312228,-0.003979632,-0.000959383,-0.002231513,2.286184293,0.011850974,0.126237078,0.006300088,0.014269305,-0.000943864,0.001885602,-0.003389423,0.148411799,0.003431678,0.027565474,0.00347518,0.006684365,0.001229218,0.002384714,0.000448595
0.051357598,0.001223992,-5.86E-05,0.002689438,0.005808007,-0.000765621,0.000434121,-0.002313074,-1.789284578,0.006667061,-0.195349575,-0.018172551,-0.00230133,-0.005549824,-0.001097346,0.001836097,2.793139168,-0.003293229,0.13934316,-0.01155096,0.00539068,-0.016489071,-0.002267774,-0.013689727,0.049893475,-0.002027497,0.009362209,-0.002959806,0.001187804,-0.003453116,-0.001526387,-0.002390188
0.077370943,0.017250937,0.004532195,-0.004028933,0.006851939,0.000391453,0.001570973,-0.004067273,-2.082500986,-0.053976276,-0.151599489,-0.012551789,-0.002197779,0.004141153,-0.004209633,0.008442428,2.945925014,-0.038531141,0.122720161,-0.041463624,0.001988033,-0.030578634,-0.004569723,-0.016190386,0.106490739,-0.007663423,0.018829093,-0.010368697,0.003288276,-0.008200201,-0.001926229,-0.005971116
0.005081573,-0.025229154,-0.008915872,0.001200194,0.001774519,0.007662071,0.006035406,0.000704393,-1.798748056,0.017053395,-0.155011702,-0.016760144,-0.021343724,-0.004895223,-0.000107723,0.004617879,2.697367889,0.00223586,0.135799165,-0.003573984,0.006333905,-0.009580385,-0.005511268,-0.006329147,-0.001294273,0.007145367,0.000396454,0.007696972,0.000817981,0.000652766,-0.003363835,-0.002863066
0.07610158,0.008840203,0.004678444,0.002124695,-0.005618172,-0.002715502,0.0032339,-0.000196579,-2.156471917,-0.002970976,-0.191717689,-0.019902921,0.000828315,-0.000476015,0.013120713,0.002180095,2.981421307,-0.01690757,0.093118592,-0.023888027,-0.023608821,-0.024040929,-0.012216901,-0.01647875,0.055639439,-0.003987861,0.004988567,-0.006219594,0.001390541,-0.004654407,0.001004859,-0.002890722
0.051866917,-0.006809826,0.001674796,0.000940521,0.001994102,-0.002398637,0.000136237,-0.001693998,-1.490291511,0.031036178,-0.130389435,-0.012003042,-0.013764404,-0.005044568,-0.000520447,-0.002015177,2.312690964,0.014118654,0.129946666,0.007389712,0.016639147,-0.000764541,0.004283954,-0.00331766,0.035143138,0.001494418,0.004102556,0.002784416,0.000864335,0.002546511,0.000266382,0.003072935
-0.000690504,0.003908593,-0.01026033,0.001491904,0.004835054,-0.002651985,0.000787097,-0.001690331,-1.797523062,0.005563226,-0.199073328,-0.019979742,-0.003433148,-0.004805253,-0.000103948,0.002397151,2.803519526,-0.004050236,0.139197691,-0.012291827,0.003799293,-0.017202035,-0.003434493,-0.014014926,-0.011276778,-0.002662704,0.000966434,-0.003207713,0.000766464,-0.001810177,-0.001289156,-5.45E-05
