A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.133151466,-0.05874563,0.074057356,0.009103459,-0.02158914,0.018693393,-0.009716514,-0.003207098,-1.787654924,-0.047185411,-0.077477161,-0.064901512,-0.012525531,0.014197124,-0.022477322,0.010536558,2.703010444,0.028105559,0.168813243,-0.036659737,0.054283489,-0.032705937,0.009764418,-0.003673896,-0.061019705,0.068830618,-0.061863297,0.047313701,-0.037215278,0.009269494,-0.008305739,0.003715776
-0.112662347,-0.083070021,0.038206671,0.024878309,0.01263099,0.005154551,0.000874288,0.003169663,-1.457076692,-0.024842677,-0.110684092,-0.004111761,-0.019653155,-0.007289938,-0.005585562,0.002765644,2.498494772,-0.008871115,0.176016801,-0.003706289,0.042705312,-0.006565441,0.016345046,-0.00464029,-0.036118215,0.030471992,-0.012530342,0.022152035,-0.02006776,0.005856851,-0.017276601,0.001866262
-0.143536019,-0.094387955,0.030340422,0.01090655,-0.016877925,0.008057127,-0.007700822,0.004002663,-1.92378223,0.016242889,-0.082577613,-0.061443118,-0.00479285,-0.00707175,-0.007540126,0.006748473,2.7572304,0.040788781,0.139672651,0.001365692,0.031906264,-0.020102298,0.008477362,-0.005245012,-0.19173878,0.067091778,-0.068315258,0.051732276,-0.042124122,0.023499793,-0.013715773,0.009496322
-0.065460025,-0.094500197,0.033051887,0.018525237,0.01085136,0.020156492,0.003777223,0.001604468,-1.277840553,-0.003039975,-0.077763566,-0.032600857,0.011096051,0.001594135,-0.013035196,0.005308604,2.169191485,0.011038155,0.145475242,-0.007104657,0.04918017,-0.011839555,0.023665418,-0.003319407,-0.010822412,0.047446364,-0.017453815,0.038594235,-0.017702927,0.010667953,-0.012766335,0.000982006
0.036480782,-0.06816381,0.056186815,0.052419321,-0.030737845,0.017365065,0.006964568,-0.008412472,-1.59904357,-0.023399599,-0.093600297,-0.043792571,0.006105906,0.009936183,-0.019437497,0.000954759,2.600512151,0.017958782,0.181041616,-0.024388113,0.060515995,-0.017526968,0.026801024,-0.005113632,0.070739076,0.060044071,-0.026021134,0.023120158,-0.008849074,-0.008570865,-0.001271918,-0.006725967
-0.154602371,-0.070207429,0.057761066,-0.007754024,-0.026834559,0.025157631,-0.021102982,0.001911685,-1.780743171,-0.042031192,-0.090863512,-0.06754277,-0.000954005,0.000585861,-0.014323507,0.009877879,2.70520738,0.036616974,0.14743628,-0.023517249,0.036849784,-0.031410401,0.006879798,-0.007076911,-0.199099364,0.065185692,-0.095297896,0.061356062,-0.055131286,0.025173145,-0.011780407,0.007143194
-0.179498579,-0.095970429,0.007710838,0.017339173,-0.007017411,0.000139999,-0.009502614,0.002662592,-1.457796449,-0.004006745,-0.112616429,-0.017787638,-0.024837276,-0.007901569,-0.004574248,-0.001096632,2.454460035,0.006306845,0.153084668,0.006617237,0.020525048,-0.001151324,-0.004138913,-0.000583885,-0.292652062,0.038572706,-0.075807995,0.028047029,-0.041375416,0.013245569,-0.019569914,0.008010925
-0.148469322,-0.096234078,0.025136781,0.008895204,-0.015533634,0.010104475,-0.010435037,0.005513724,-1.935223124,0.009369141,-0.076731557,-0.064093887,0.000185974,-0.00643929,-0.006629377,0.002614533,2.734657821,0.045963554,0.126911371,0.002165518,0.027485056,-0.019482065,0.006544929,-0.004849277,-0.237937549,0.070307108,-0.083166262,0.057134903,-0.049618874,0.026087292,-0.016395728,0.007891625
-0.118931174,-0.08776395,0.018642645,0.004315263,0.009560326,0.023931135,-0.008921733,0.007761904,-1.297172546,-0.000728845,-0.065963077,-0.045910309,0.014744948,-0.006786874,-0.014317028,0.004170356,2.137223177,0.039517966,0.127799722,0.003473864,0.045546164,-0.010348475,0.017767004,0.001150086,-0.171095122,0.060102617,-0.068761985,0.054147841,-0.04448603,0.018306354,-0.022092973,0.000128661
-0.053653895,-0.077957532,0.043174574,0.042773563,-0.029104336,0.021971957,0.00100654,-0.004572967,-1.599466808,-0.014322213,-0.09627932,-0.04707564,0.006278903,0.004122171,-0.021050372,0.005951722,2.588200305,0.016231308,0.172632066,-0.018027538,0.054322736,-0.018338271,0.022917196,-0.006778609,-0.072293142,0.056072313,-0.053930439,0.029017529,-0.026662103,-0.00284681,-0.013135631,-0.004998893
-0.158034688,-0.073149346,0.059505034,-0.013768738,-0.026635523,0.027226019,-0.022581031,0.002473804,-1.787402152,-0.044569797,-0.087669957,-0.068321182,-0.000854439,0.002412775,-0.011759479,0.010108182,2.686976022,0.044722508,0.140289856,-0.021963659,0.036020344,-0.029217213,0.006321567,-0.002677084,-0.209188927,0.070345952,-0.103403744,0.067821,-0.059252907,0.027696723,-0.01150393,0.007091979
-0.167310157,-0.100816832,0.013327953,0.012181035,-0.006184568,0.00052616,-0.008702614,0.00180784,-1.454321731,-0.00251416,-0.113794835,-0.01540986,-0.026472442,-0.006422522,-0.006401821,-0.005114519,2.440172774,0.009987796,0.151195523,0.010694343,0.019237542,0.003420467,-0.005765936,0.002208075,-0.267021034,0.039149901,-0.071067092,0.031002929,-0.039982721,0.015516748,-0.019112465,0.008895848
