Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1000_HIGH09_A_R1_1of1_Taes_1x1_d_uc,1000,Nikon,1x,1,HIGH09,A,R1,Base,1of1,Solo,Taes,d,uc
1001_HIGH09_A_R1_1of1_Taes_1x1_l_uc,1001,Nikon,1x,1,HIGH09,A,R1,Base,1of1,Solo,Taes,l,uc
1002_HIGH09_A_R1_1of1_Taes_1x1_p_uc,1002,Nikon,1x,1,HIGH09,A,R1,Base,1of1,Solo,Taes,p,uc
1003_HIGH09_A_R2_2of3_Taes_1x1_d_uc,1003,Nikon,1x,1,HIGH09,A,R2,Base,2of3,Internal,Taes,d,uc
1004_HIGH09_A_R2_2of3_Taes_1x1_l_uc,1004,Nikon,1x,1,HIGH09,A,R2,Base,2of3,Internal,Taes,l,uc
1005_HIGH09_A_R2_2of3_Taes_1x1_p_uc,1005,Nikon,1x,1,HIGH09,A,R2,Base,2of3,Internal,Taes,p,uc
1006_HIGH09_A_R2_3of3_Taes_1x1_d_uc,1006,Nikon,1x,1,HIGH09,A,R2,Base,3of3,External,Taes,d,uc
1007_HIGH09_A_R2_3of3_Taes_1x1_l_uc,1007,Nikon,1x,1,HIGH09,A,R2,Base,3of3,External,Taes,l,uc
1008_HIGH09_A_R2_3of3_Taes_1x1_p_uc,1008,Nikon,1x,1,HIGH09,A,R2,Base,3of3,External,Taes,p,uc
1009_HIGH09_A_R9_1of3_Taes_1x1_d_uc,1009,Nikon,1x,1,HIGH09,A,R9,Mid,1of3,External,Taes,d,uc
1010_HIGH09_A_R9_1of3_Taes_1x1_l_uc,1010,Nikon,1x,1,HIGH09,A,R9,Mid,1of3,External,Taes,l,uc
1011_HIGH09_A_R9_1of3_Taes_1x1_p_uc,1011,Nikon,1x,1,HIGH09,A,R9,Mid,1of3,External,Taes,p,uc
1012_HIGH09_A_R9_2of3_Taes_1x1_d_uc,1012,Nikon,1x,1,HIGH09,A,R9,Mid,2of3,Internal,Taes,d,uc
1013_HIGH09_A_R9_2of3_Taes_1x1_l_uc,1013,Nikon,1x,1,HIGH09,A,R9,Mid,2of3,Internal,Taes,l,uc
1014_HIGH09_A_R9_2of3_Taes_1x1_p_uc,1014,Nikon,1x,1,HIGH09,A,R9,Mid,2of3,Internal,Taes,p,uc
1015_HIGH09_A_R9_3of3_Taes_1x1_d_uc,1015,Nikon,1x,1,HIGH09,A,R9,Mid,3of3,External,Taes,d,uc
