Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
13249_Taes_HOU001a___d,13249,Feedsax,,,Houghton,,HOU001a,,,,,d,
13250_Taes_HOU001a___l,13250,Feedsax,,,Houghton,,HOU001a,,,,,l,
13252_Taes_HOU001b___d,13252,Feedsax,,,Houghton,,HOU001b,,,,,d,
13253_Taes_HOU001b___l,13253,Feedsax,,,Houghton,,HOU001b,,,,,l,
13255_Taes_HOU001c___d,13255,Feedsax,,,Houghton,,HOU001c,,,,,d,
13256_Taes_HOU001c___l,13256,Feedsax,,,Houghton,,HOU001c,,,,,l,
13258_Taes_HOU003a___d,13258,Feedsax,,,Houghton,,HOU003a,,,,,d,
13259_Taes_HOU003a___l,13259,Feedsax,,,Houghton,,HOU003a,,,,,l,
13261_Taes_HOU003b___d,13261,Feedsax,,,Houghton,,HOU003b,,,,,d,
13262_Taes_HOU003b___l,13262,Feedsax,,,Houghton,,HOU003b,,,,,l,
13264_Taes_HOU003c___d,13264,Feedsax,,,Houghton,,HOU003c,,,,,d,
13265_Taes_HOU003c___l,13265,Feedsax,,,Houghton,,HOU003c,,,,,l,
13267_Taes_HOU011a___d,13267,Feedsax,,,Houghton,,HOU011a,,,,,d,
13268_Taes_HOU011a___l,13268,Feedsax,,,Houghton,,HOU011a,,,,,l,
13270_Taes_HOU011b___d,13270,Feedsax,,,Houghton,,HOU011b,,,,,d,
13271_Taes_HOU011b___l,13271,Feedsax,,,Houghton,,HOU011b,,,,,l,
13273_Taes_HOU011c___d,13273,Feedsax,,,Houghton,,HOU011c,,,,,d,
13274_Taes_HOU011c___l,13274,Feedsax,,,Houghton,,HOU011c,,,,,l,
14014_Houghton_FT_07094__S1_1x1_d,14014,Nikon,1x,1,Houghton,Houghton,7094,7094,,S1,,d,
14015_Houghton_FT_07094__S1_1x1_l,14015,Nikon,1x,1,Houghton,Houghton,7094,7094,,S1,,l,
14016_Houghton_FT_07094__S2_1x1_d,14016,Nikon,1x,1,Houghton,Houghton,7094,7094,,S2,,d,
14017_Houghton_FT_07094__S2_1x1_l,14017,Nikon,1x,1,Houghton,Houghton,7094,7094,,S2,,l,
14018_Houghton_FT_07094__S3_1x1_d,14018,Nikon,1x,1,Houghton,Houghton,7094,7094,,S3,,d,
14019_Houghton_FT_07094__S3_1x1_l,14019,Nikon,1x,1,Houghton,Houghton,7094,7094,,S3,,l,
14020_Houghton_FT_07094__S4_1x1_d,14020,Nikon,1x,1,Houghton,Houghton,7094,7094,,S4,,d,
14021_Houghton_FT_07094__S4_1x1_l,14021,Nikon,1x,1,Houghton,Houghton,7094,7094,,S4,,l,
14022_Houghton_FT_07094__S5_1x1_d,14022,Nikon,1x,1,Houghton,Houghton,7094,7094,,S5,,d,
14023_Houghton_FT_07094__S5_1x1_l,14023,Nikon,1x,1,Houghton,Houghton,7094,7094,,S5,,l,
